fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2012/04,,,,61.0,60.0
2012/05,30.462638,44.211884,20.662087,100.0,100.0
2012/06,26.009761,45.851866,8.639792,100.0,100.0
2012/07,17.767157,44.007688,7.934543,100.0,100.0
2012/08,22.543976,53.260853,15.796141,100.0,100.0
2012/09,21.769557,75.706548,16.329522,100.0,100.0
2012/10,13.286653,42.953366,7.212498,100.0,100.0
2012/11,16.086777,32.449198,6.079222,100.0,100.0
2012/12,12.522161,29.874842,6.891799,100.0,100.0
2013/01,14.66173,42.203076,5.931336,100.0,100.0
2013/02,20.881882,53.475266,5.760117,100.0,100.0
2013/03,16.295767,50.552078,8.922815,100.0,100.0
2013/04,16.053522,39.720508,8.384646,100.0,100.0
2013/05,22.972189,46.360469,16.247266,100.0,100.0
2013/06,18.182727,59.852044,15.95122,100.0,100.0
2013/07,24.567084,58.690457,16.091383,100.0,100.0
2013/08,18.509938,43.143041,16.105781,100.0,100.0
2013/09,19.016919,43.882639,13.711215,75.8,76.7
2013/10,,,,,
2013/11,,,,,
2013/12,,,,,
2014/01,,,,,
2014/02,,,,,
2014/03,,,,,
2014/04,,,,,
2014/05,,,,,
2014/06,,,,,
2014/07,,,,,
2014/08,,,,,
2014/09,,,,,
2014/10,,,,33.3,32.3
2014/11,,,,58.3,56.7
2014/12,,,,0.0,0.0
2015/01,,,,,
2015/02,,,,,
2015/03,,,,46.1,45.2
2015/04,23.471667,50.063663,13.581814,100.0,100.0
2015/05,29.117895,62.614527,18.089417,100.0,100.0
2015/06,48.88251,91.861731,33.394692,100.0,100.0
2015/07,48.853155,108.719786,33.96315,100.0,100.0
2015/08,38.572528,63.209785,29.959785,100.0,100.0
2015/09,25.558664,42.669365,16.977145,100.0,100.0
2015/10,22.674678,42.347734,12.673521,100.0,100.0
2015/11,21.861369,66.539909,9.360718,100.0,100.0
2015/12,23.371932,40.141609,7.66163,100.0,100.0
2016/01,27.424387,43.169034,18.137114,100.0,100.0
2016/02,25.635321,54.220213,5.041516,100.0,100.0
2016/03,20.844211,40.831716,7.318203,100.0,100.0
2016/04,32.556297,98.846442,11.596286,100.0,100.0
2016/05,21.044588,44.294354,4.01577,100.0,100.0
2016/06,30.504463,66.732673,9.182477,100.0,100.0
2016/07,25.193748,47.877643,8.753491,100.0,100.0
2016/08,21.56691,56.194313,10.216798,100.0,100.0
2016/09,25.45091,63.317914,10.17754,100.0,100.0
2016/10,26.388372,54.899963,10.039963,100.0,100.0
2016/11,18.760257,33.961823,8.12244,100.0,100.0
2016/12,19.141104,57.572502,8.181195,91.8,90.3
2017/01,,,,17.7,16.1
2017/02,27.194227,47.341769,16.853623,100.0,100.0
2017/03,,,,44.3,45.2
2017/04,,,,,
2017/05,,,,,
2017/06,,,,,
2017/07,,,,0.0,0.0
2017/08,,,,49.4,48.4
2017/09,28.847942,82.101288,15.031371,99.7,100.0
2017/10,23.404384,39.036366,16.104347,99.3,100.0
2017/11,24.550704,61.216732,15.309548,99.3,100.0
2017/12,19.535179,35.180969,11.852237,81.6,80.6
2018/01,28.277422,59.507381,15.706947,87.9,87.1
2018/02,20.142945,38.281174,14.633975,100.0,100.0
2018/03,20.181534,38.877754,13.839186,100.0,100.0
2018/04,29.609727,64.038773,17.973291,100.0,100.0
2018/05,44.559403,75.090202,23.854815,100.0,100.0
2018/06,38.871672,77.236969,24.808601,100.0,100.0
2018/07,40.388258,83.717155,25.206013,100.0,100.0
2018/08,42.489859,83.756912,23.735592,100.0,100.0
2018/09,34.188922,78.707909,22.702332,100.0,100.0
2018/10,28.016299,50.245403,20.039742,100.0,100.0
2018/11,28.595539,76.879173,18.52964,100.0,100.0
2018/12,38.899505,61.931927,25.364979,100.0,100.0
2019/01,31.732083,48.416981,25.881618,100.0,100.0
2019/02,34.027556,64.714561,26.755936,100.0,100.0
2019/03,30.230257,62.846214,23.21896,100.0,100.0
2019/04,35.092743,67.775505,23.417664,99.9,100.0
2019/05,45.219024,95.50882,29.957012,99.6,100.0
2019/06,,,,65.0,63.3
2019/07,,,,,
2019/08,,,,29.5,25.8
2019/09,,,,55.6,53.3
2019/10,,,,33.1,32.3
2019/11,29.216658,51.976959,20.259804,98.4,100.0
2019/12,22.309396,39.217701,17.716394,97.2,96.8
2020/01,21.122635,42.556465,17.477951,96.8,96.8
2020/02,18.190585,41.244801,13.503985,99.8,100.0
2020/03,18.859139,35.720032,12.152866,100.0,100.0
2020/04,16.892337,53.169464,11.954174,100.0,100.0
2020/05,,,,3.7,3.2
2020/06,,,,,
2020/07,,,,,
2020/08,,,,,
2020/09,,,,,
2020/10,,,,55.6,54.8
2020/11,23.215259,84.972786,12.748947,100.0,100.0
2020/12,19.329577,53.169464,14.259029,100.0,100.0
2021/01,20.567486,45.179836,12.589992,100.0,100.0
2021/02,20.066471,48.677731,13.34503,100.0,100.0
2021/03,,,,57.6,58.1
2021/04,,,,,
2021/05,,,,,
2021/06,31.789674,78.340279,14.264339,90.8,90.0
2021/07,30.95842,98.259514,15.814227,100.0,100.0
2021/08,19.592431,42.999802,12.793951,100.0,100.0
2021/09,27.969559,119.015526,13.151611,100.0,100.0
2021/10,20.02469,42.880554,11.32358,100.0,100.0
2021/11,15.030039,42.721561,9.892964,100.0,100.0
2021/12,13.734945,38.781,8.02,100.0,100.0
2022/01,8.417542,24.552,6.827,99.7,100.0
2022/02,9.043286,25.864,6.43,92.9,92.9
2022/03,,,,,
2022/04,,,,12.0,10.0
