fecha,valor,completo_mediciones,completo_umbral
2003/11,75.8,100.0,100.0
2003/12,101.64,100.0,100.0
2004/01,,75.9,74.2
2004/02,,,
2004/03,,,
2004/04,,,
2004/05,,,
2004/06,,,
2004/07,,,
2004/08,,74.2,74.2
2004/09,74.64,100.0,100.0
2004/10,66.98,100.0,100.0
2004/11,35.76,100.0,100.0
2004/12,42.96,98.5,96.8
2005/01,12.72,100.0,100.0
2005/02,41.04,100.0,100.0
2005/03,49.6,100.0,100.0
2005/04,204.96,100.0,100.0
2005/05,117.12,98.7,96.8
2005/06,167.5,100.0,100.0
2005/07,104.68,100.0,100.0
2005/08,57.12,100.0,100.0
2005/09,67.2,100.0,100.0
2005/10,,11.5,9.7
2005/11,,63.3,63.3
2005/12,149.04,90.3,90.3
2006/01,97.92,100.0,100.0
2006/02,71.76,100.0,100.0
2006/03,134.64,100.0,100.0
2006/04,107.4,93.3,93.3
2006/05,122.4,100.0,100.0
2006/06,181.12,100.0,100.0
2006/07,119.12,100.0,100.0
2006/08,,32.3,32.3
2006/09,,55.2,53.3
2006/10,,40.5,38.7
2006/11,,30.0,30.0
2006/12,,35.5,35.5
2007/01,45.28,100.0,100.0
2007/02,39.12,100.0,100.0
2007/03,70.56,100.0,100.0
2007/04,134.88,100.0,100.0
2007/05,109.27,98.6,96.8
2007/06,205.92,100.0,100.0
2007/07,55.2,96.8,96.8
2007/08,176.4,100.0,100.0
2007/09,97.2,100.0,100.0
2007/10,67.44,100.0,100.0
2007/11,85.44,100.0,100.0
2007/12,59.28,100.0,100.0
2008/01,64.8,100.0,100.0
2008/02,94.56,100.0,100.0
2008/03,64.56,100.0,100.0
2008/04,86.4,98.7,96.7
2008/05,119.04,100.0,100.0
2008/06,138.0,100.0,100.0
2008/07,132.0,100.0,100.0
2008/08,112.56,100.0,100.0
2008/09,126.0,100.0,100.0
2008/10,162.24,100.0,100.0
2008/11,101.92,100.0,100.0
2008/12,77.04,96.8,96.8
2009/01,106.76,100.0,100.0
2009/02,78.24,100.0,100.0
2009/03,73.76,100.0,100.0
2009/04,109.96,100.0,100.0
2009/05,103.44,100.0,100.0
2009/06,110.88,100.0,100.0
2009/07,169.2,100.0,100.0
2009/08,133.2,100.0,100.0
2009/09,53.28,100.0,100.0
2009/10,67.44,100.0,100.0
2009/11,32.64,100.0,100.0
2009/12,59.28,100.0,100.0
2010/01,30.48,100.0,100.0
2010/02,45.84,100.0,100.0
2010/03,77.28,100.0,100.0
2010/04,169.36,100.0,100.0
2010/05,124.0,100.0,100.0
2010/06,225.84,100.0,100.0
2010/07,174.24,100.0,100.0
2010/08,184.8,100.0,100.0
2010/09,130.8,100.0,100.0
2010/10,58.62,100.0,100.0
2010/11,164.68,100.0,100.0
2010/12,131.28,100.0,100.0
2011/01,53.76,100.0,100.0
2011/02,128.32,100.0,100.0
2011/03,86.88,100.0,100.0
2011/04,143.76,100.0,100.0
2011/05,189.6,100.0,100.0
2011/06,144.0,100.0,100.0
2011/07,256.24,100.0,100.0
2011/08,143.28,100.0,100.0
2011/09,161.76,100.0,100.0
2011/10,109.04,100.0,100.0
2011/11,178.36,96.7,96.7
2011/12,183.04,100.0,100.0
2012/01,138.72,100.0,100.0
2012/02,114.96,100.0,100.0
2012/03,145.44,100.0,100.0
2012/04,132.72,100.0,100.0
2012/05,130.08,100.0,100.0
2012/06,133.44,100.0,100.0
2012/07,187.2,100.0,100.0
2012/08,174.96,100.0,100.0
2012/09,91.68,100.0,100.0
2012/10,92.88,100.0,100.0
2012/11,,73.3,73.3
2012/12,,,
2013/01,,35.5,35.5
2013/02,190.4,100.0,100.0
2013/03,,58.1,58.1
2013/04,95.04,100.0,100.0
2013/05,138.72,100.0,100.0
2013/06,125.76,100.0,100.0
2013/07,221.76,100.0,100.0
2013/08,119.04,100.0,100.0
2013/09,127.68,100.0,100.0
2013/10,138.96,100.0,100.0
2013/11,157.52,100.0,100.0
2013/12,56.4,100.0,100.0
2014/01,130.32,100.0,100.0
2014/02,32.16,100.0,100.0
2014/03,128.16,100.0,100.0
2014/04,174.72,100.0,100.0
2014/05,160.32,100.0,100.0
2014/06,244.8,100.0,100.0
2014/07,189.6,100.0,100.0
2014/08,152.88,100.0,100.0
2014/09,156.72,100.0,100.0
2014/10,169.2,100.0,100.0
2014/11,119.76,100.0,100.0
2014/12,109.68,100.0,100.0
2015/01,107.52,100.0,100.0
2015/02,70.08,100.0,100.0
2015/03,151.68,100.0,100.0
2015/04,204.96,100.0,100.0
2015/05,169.44,100.0,100.0
2015/06,373.44,100.0,100.0
2015/07,338.16,100.0,100.0
2015/08,193.2,100.0,100.0
2015/09,,46.7,46.7
2015/10,133.68,100.0,100.0
2015/11,132.72,100.0,100.0
2015/12,95.04,100.0,100.0
2016/01,21.36,100.0,100.0
2016/02,154.08,100.0,100.0
2016/03,198.96,100.0,100.0
2016/04,224.16,100.0,100.0
2016/05,155.04,100.0,100.0
2016/06,342.0,100.0,100.0
2016/07,233.52,100.0,100.0
2016/08,114.96,100.0,100.0
2016/09,215.52,100.0,100.0
2016/10,154.32,100.0,100.0
2016/11,108.48,100.0,100.0
2016/12,61.44,100.0,100.0
2017/01,,67.7,67.7
2017/02,78.72,100.0,100.0
2017/03,173.76,100.0,100.0
2017/04,161.76,100.0,100.0
2017/05,204.48,100.0,100.0
2017/06,194.16,100.0,100.0
2017/07,253.44,100.0,100.0
2017/08,163.2,100.0,100.0
2017/09,138.96,100.0,100.0
2017/10,128.64,100.0,100.0
2017/11,90.96,100.0,100.0
2017/12,132.24,100.0,100.0
2018/01,91.26,100.0,100.0
2018/02,26.2,100.0,100.0
2018/03,,44.0,41.9
2018/04,,41.6,40.0
2018/05,114.9,100.0,100.0
2018/06,73.9,100.0,100.0
2018/07,76.1,100.0,100.0
2018/08,80.9,100.0,100.0
2018/09,63.2,100.0,100.0
2018/10,39.8,100.0,100.0
2018/11,52.8,100.0,100.0
2018/12,54.6,100.0,100.0
2019/01,36.9,100.0,100.0
2019/02,42.6,100.0,100.0
2019/03,36.6,100.0,100.0
2019/04,52.1,100.0,100.0
2019/05,110.3,100.0,100.0
2019/06,134.8,100.0,100.0
2019/07,92.3,100.0,100.0
2019/08,92.5,100.0,100.0
2019/09,45.4,100.0,100.0
2019/10,31.9,100.0,100.0
2019/11,61.9,99.8,100.0
2019/12,92.1,100.0,100.0
2020/01,129.7,100.0,100.0
2020/02,57.4,91.8,89.7
2020/03,,,
2020/04,,,
2020/05,,,
2020/06,,,
2020/07,,,
2020/08,,1.7,0.0
2020/09,119.8,100.0,100.0
2020/10,,49.3,48.4
2020/11,,,
2020/12,,,
2021/01,,,
2021/02,,,
2021/03,,75.5,74.2
2021/04,169.4,100.0,100.0
2021/05,156.4,100.0,100.0
2021/06,176.3,100.0,100.0
2021/07,,28.2,25.8
2021/08,,38.7,38.7
2021/09,158.0,100.0,100.0
2021/10,76.8,100.0,100.0
2021/11,73.9,100.0,100.0
2021/12,15.9,100.0,100.0
2022/01,0.3,100.0,100.0
2022/02,0.0,100.0,100.0
2022/03,0.0,100.0,100.0
2022/04,69.5,100.0,100.0
2022/05,129.1,100.0,100.0
2022/06,170.1,100.0,100.0
2022/07,165.2,100.0,100.0
2022/08,,69.1,64.5
2022/09,,,
2022/10,,56.9,54.8
2022/11,52.7,100.0,100.0
2022/12,,44.1,41.9
2023/01,,,
2023/02,,44.8,42.9
2023/03,167.4,100.0,100.0
2023/04,,76.1,76.7
2023/05,,,
2023/06,,59.1,56.7
2023/07,157.5,100.0,100.0
2023/08,127.9,100.0,100.0
2023/09,63.0,100.0,100.0
2023/10,45.4,100.0,100.0
2023/11,,63.3,63.3
2023/12,,45.2,45.2
2024/01,42.2,100.0,100.0
2024/02,80.3,100.0,100.0
2024/03,76.2,100.0,100.0
2024/04,129.89,100.0,100.0
2024/05,13.86,100.0,100.0
2024/06,14.83,100.0,100.0
2024/07,14.2,100.0,100.0
