fecha,valor,completo_mediciones,completo_umbral
2008/08,40.3,100.0,100.0
2008/09,58.5,100.5,100.0
2008/10,,9.6,9.7
2008/11,,,
2008/12,49.9,100.0,100.0
2009/01,64.4,100.0,100.0
2009/02,48.0,100.0,100.0
2009/03,25.1,100.0,100.0
2009/04,65.2,100.0,100.0
2009/05,71.5,100.0,100.0
2009/06,,73.3,73.3
2009/07,,61.3,61.3
2009/08,38.9,93.5,93.5
2009/09,15.0,96.7,96.7
2009/10,,22.6,22.6
2009/11,,,
2009/12,,54.8,54.8
2010/01,,,
2010/02,,63.2,60.7
2010/03,20.7,100.0,100.0
2010/04,,16.7,16.7
2010/05,,51.6,51.6
2010/06,29.6,100.0,100.0
2010/07,66.0,96.8,96.8
2010/08,73.4,100.0,100.0
2010/09,33.2,100.0,100.0
2010/10,51.8,100.0,100.0
2010/11,,66.7,66.7
2010/12,,25.8,25.8
2011/01,37.6,96.8,96.8
2011/02,,45.2,42.9
2011/03,74.8,84.0,83.9
2011/04,111.6,100.0,100.0
2011/05,141.2,100.0,100.0
2011/06,144.5,100.0,100.0
2011/07,138.0,100.0,100.0
2011/08,63.7,100.0,100.0
2011/09,87.3,100.0,100.0
2011/10,74.0,100.0,100.0
2011/11,96.3,100.0,100.0
2011/12,115.9,100.0,100.0
2012/01,114.2,100.0,100.0
2012/02,83.4,100.0,100.0
2012/03,90.8,100.0,100.0
2012/04,99.5,100.0,100.0
2012/05,92.9,100.0,100.0
2012/06,83.0,100.0,100.0
2012/07,118.0,100.0,100.0
2012/08,117.4,100.0,100.0
2012/09,57.5,100.0,100.0
2012/10,71.0,100.0,100.0
2012/11,40.6,100.0,100.0
2012/12,45.2,100.0,100.0
2013/01,64.4,100.0,100.0
2013/02,159.6,100.0,100.0
2013/03,57.1,100.0,100.0
2013/04,69.8,100.0,100.0
2013/05,114.5,100.0,100.0
2013/06,78.4,100.0,100.0
2013/07,138.2,100.0,100.0
2013/08,73.8,100.0,100.0
2013/09,86.8,100.0,100.0
2013/10,83.5,100.0,100.0
2013/11,88.7,100.0,100.0
2013/12,36.5,100.0,100.0
2014/01,93.7,100.0,100.0
2014/02,16.6,100.0,100.0
2014/03,100.8,100.0,100.0
2014/04,113.9,100.0,100.0
2014/05,118.8,100.0,100.0
2014/06,172.1,100.0,100.0
2014/07,114.8,100.0,100.0
2014/08,97.5,100.0,100.0
2014/09,95.0,100.0,100.0
2014/10,105.9,100.0,100.0
2014/11,81.7,100.0,100.0
2014/12,76.8,100.0,100.0
2015/01,64.4,100.0,100.0
2015/02,39.6,100.0,100.0
2015/03,95.8,100.0,100.0
2015/04,110.7,100.0,100.0
2015/05,102.5,100.0,100.0
2015/06,201.9,100.0,100.0
2015/07,174.5,100.0,100.0
2015/08,92.8,100.0,100.0
2015/09,38.4,100.0,100.0
2015/10,84.5,100.0,100.0
2015/11,78.5,100.0,100.0
2015/12,46.8,100.0,100.0
2016/01,15.0,100.0,100.0
2016/02,83.2,100.0,100.0
2016/03,110.5,100.0,100.0
2016/04,146.9,100.0,100.0
2016/05,82.2,100.0,100.0
2016/06,187.9,100.0,100.0
2016/07,137.0,100.0,100.0
2016/08,58.0,100.0,100.0
2016/09,138.4,100.0,100.0
2016/10,101.0,100.0,100.0
2016/11,57.3,100.0,100.0
2016/12,45.2,100.0,100.0
2017/01,113.9,100.0,100.0
2017/02,61.6,100.0,100.0
2017/03,106.8,100.0,100.0
2017/04,85.9,100.0,100.0
2017/05,,58.1,58.1
2017/06,,,
2017/07,,,
2017/08,95.2,100.0,100.0
2017/09,85.6,100.0,100.0
2017/10,82.6,100.0,100.0
2017/11,78.6,100.0,100.0
2017/12,90.5,100.0,100.0
2018/01,107.6,100.0,100.0
2018/02,44.2,100.0,100.0
2018/03,65.5,100.0,100.0
2018/04,150.7,100.0,100.0
2018/05,171.3,100.0,100.0
2018/06,143.1,100.0,100.0
2018/07,91.2,100.0,100.0
2018/08,100.0,100.0,100.0
2018/09,104.6,100.0,100.0
2018/10,55.9,83.0,80.6
2018/11,,,
2018/12,,,
2019/01,,,
2019/02,,,
2019/03,,,
2019/04,,,
2019/05,,,
