fecha,valor,completo_mediciones,completo_umbral
2009/10,,75.8,74.2
2009/11,12.8,100.0,100.0
2009/12,60.7,100.0,100.0
2010/01,21.5,100.0,100.0
2010/02,21.3,100.0,100.0
2010/03,46.0,100.0,100.0
2010/04,129.6,100.0,100.0
2010/05,79.2,100.0,100.0
2010/06,131.4,100.0,100.0
2010/07,105.8,100.0,100.0
2010/08,119.9,100.0,100.0
2010/09,65.8,100.0,100.0
2010/10,36.7,100.0,100.0
2010/11,104.5,100.0,100.0
2010/12,71.6,100.0,100.0
2011/01,51.3,100.0,100.0
2011/02,129.7,100.0,100.0
2011/03,63.7,100.0,100.0
2011/04,151.9,100.0,100.0
2011/05,110.6,100.0,100.0
2011/06,109.2,100.0,100.0
2011/07,141.2,100.0,100.0
2011/08,81.0,100.0,100.0
2011/09,70.5,100.0,100.0
2011/10,78.5,100.0,100.0
2011/11,74.0,100.0,100.0
2011/12,84.9,100.0,100.0
2012/01,95.7,100.0,100.0
2012/02,53.5,100.0,100.0
2012/03,75.5,100.0,100.0
2012/04,84.1,100.0,100.0
2012/05,62.1,100.0,100.0
2012/06,53.7,100.0,100.0
2012/07,78.7,100.0,100.0
2012/08,88.6,100.0,100.0
2012/09,42.1,100.0,100.0
2012/10,59.0,100.0,100.0
2012/11,81.7,100.0,100.0
2012/12,29.0,100.0,100.0
2013/01,54.7,100.0,100.0
2013/02,108.1,100.0,100.0
2013/03,45.9,100.0,100.0
2013/04,41.2,100.0,100.0
2013/05,103.6,100.0,100.0
2013/06,39.9,100.0,100.0
2013/07,102.1,100.0,100.0
2013/08,44.4,100.0,100.0
2013/09,65.8,100.0,100.0
2013/10,75.9,100.0,100.0
2013/11,57.7,100.0,100.0
2013/12,29.8,99.1,96.8
2014/01,59.7,100.0,100.0
2014/02,23.5,100.0,100.0
2014/03,87.0,100.0,100.0
2014/04,66.5,100.0,100.0
2014/05,97.6,100.0,100.0
2014/06,131.8,100.0,100.0
2014/07,83.9,100.0,100.0
2014/08,67.4,100.0,100.0
2014/09,71.2,100.0,100.0
2014/10,103.0,100.0,100.0
2014/11,52.5,100.0,100.0
2014/12,83.0,100.0,100.0
2015/01,62.7,100.0,100.0
2015/02,28.3,100.0,100.0
2015/03,85.4,100.0,100.0
2015/04,72.3,100.0,100.0
2015/05,63.7,100.0,100.0
2015/06,153.5,100.0,100.0
2015/07,136.5,100.0,100.0
2015/08,67.1,100.0,100.0
2015/09,24.0,100.0,100.0
2015/10,57.4,100.0,100.0
2015/11,70.4,100.0,100.0
2015/12,29.1,100.0,100.0
2016/01,38.4,100.0,100.0
2016/02,48.5,100.0,100.0
2016/03,80.9,100.0,100.0
2016/04,160.5,100.0,100.0
2016/05,50.0,100.0,100.0
2016/06,136.2,100.0,100.0
2016/07,97.7,100.0,100.0
2016/08,37.4,100.0,100.0
2016/09,100.2,100.0,100.0
2016/10,63.5,100.0,100.0
2016/11,58.3,100.0,100.0
2016/12,54.5,100.0,100.0
2017/01,87.0,100.0,100.0
2017/02,73.7,100.0,100.0
2017/03,133.9,100.0,100.0
2017/04,52.7,100.0,100.0
2017/05,85.7,100.0,100.0
2017/06,104.7,100.0,100.0
2017/07,104.9,100.0,100.0
2017/08,88.0,100.0,100.0
2017/09,63.7,100.0,100.0
2017/10,42.3,100.0,100.0
2017/11,91.9,100.0,100.0
2017/12,64.6,100.0,100.0
2018/01,86.1,100.0,100.0
2018/02,62.0,100.0,100.0
2018/03,54.7,100.0,100.0
2018/04,112.9,100.0,100.0
2018/05,64.3,100.0,100.0
2018/06,67.3,100.0,100.0
2018/07,65.1,100.0,100.0
2018/08,77.6,100.0,100.0
2018/09,86.1,100.0,100.0
2018/10,103.1,100.0,100.0
2018/11,149.3,100.0,100.0
2018/12,74.2,100.0,100.0
2019/01,67.7,100.0,100.0
2019/02,85.6,100.0,100.0
2019/03,96.3,100.0,100.0
2019/04,,72.4,70.0
2019/05,,0.0,0.0
2019/06,118.4,80.8,80.0
2019/07,127.8,100.0,100.0
2019/08,,66.0,64.5
2019/09,60.9,98.3,96.7
2019/10,104.5,100.0,100.0
2019/11,68.5,86.7,83.3
2019/12,67.4,100.0,100.0
2020/01,82.6,100.0,100.0
2020/02,63.7,100.0,100.0
2020/03,31.7,100.0,100.0
2020/04,50.4,100.0,100.0
2020/05,,14.4,12.9
2020/06,142.6,91.8,90.0
2020/07,144.5,100.0,100.0
2020/08,52.5,100.0,100.0
2020/09,104.3,100.0,100.0
2020/10,49.8,100.0,100.0
2020/11,125.6,100.0,100.0
2020/12,58.0,100.0,100.0
2021/01,64.6,99.7,100.0
2021/02,75.2,100.0,100.0
2021/03,209.4,100.0,100.0
2021/04,,33.0,30.0
2021/05,126.7,100.0,100.0
2021/06,116.7,100.0,100.0
2021/07,92.0,99.1,96.8
2021/08,73.7,100.0,100.0
2021/09,112.8,99.6,100.0
2021/10,86.9,100.0,100.0
2021/11,57.4,100.0,100.0
2021/12,51.8,100.0,100.0
2022/01,33.0,100.0,100.0
2022/02,60.1,100.0,100.0
2022/03,60.5,99.3,96.8
2022/04,80.9,100.0,100.0
2022/05,104.9,100.0,100.0
2022/06,158.8,100.0,100.0
2022/07,133.3,100.0,100.0
2022/08,,69.9,67.7
2022/09,,,
2022/10,,,
2022/11,,44.6,43.3
2022/12,54.9,100.0,100.0
2023/01,70.4,100.0,100.0
2023/02,40.6,100.0,100.0
2023/03,124.8,100.0,100.0
2023/04,98.8,100.0,100.0
2023/05,91.3,100.0,100.0
2023/06,73.5,100.0,100.0
2023/07,93.6,100.0,100.0
2023/08,78.7,81.6,80.6
2023/09,,54.2,53.3
2023/10,41.5,100.0,100.0
2023/11,69.3,100.0,100.0
2023/12,78.1,100.0,100.0
2024/01,61.1,100.0,100.0
2024/02,73.2,100.0,100.0
2024/03,73.5,100.0,100.0
2024/04,120.9,100.0,100.0
2024/05,92.7,100.0,100.0
2024/06,105.0,100.0,100.0
2024/07,93.6,100.0,100.0
2024/08,50.7,100.0,100.0
2024/09,81.0,100.0,100.0
2024/10,,47.6,45.2
